status,tempo_empresa,moradia,tempo_emprestimo,idade,estado_civil,registros,trabalho,despesas,renda,ativos,dividas,valor_emprestimo,preco_do_bem
bom,11,própria,60,38,casada(o),não,autônomo,60,350,7500,0,1500,1800
bom,1,alugada,48,45,casada(o),não,fixo,59,140,0,0,1800,1980
bom,2,própria,36,51,casada(o),não,meio período,75,125,4500,0,600,989
bom,22,alugada,48,42,casada(o),sim,fixo,102,121,0,0,1000,1250
bom,0,própria,60,22,solteira(o),não,meio período,35,155,6500,0,1100,1646
bom,2,priv,48,26,solteira(o),não,fixo,35,133,3000,0,1000,1114
bom,20,própria,60,51,casada(o),não,fixo,75,117,2000,0,1000,1365
ruim,1,pais,36,33,solteira(o),não,fixo,35,125,0,0,600,1600
bom,5,priv,48,43,casada(o),sim,fixo,75,136,2500,500,940,1133
bom,3,própria,12,32,casada(o),não,autônomo,75,25,3600,1800,100,550
ruim,11,alugada,36,52,casada(o),não,fixo,93,176,0,0,350,350
bom,20,outras,12,65,casada(o),sim,autônomo,45,430,70000,0,1000,1321
ruim,1,alugada,60,32,casada(o),não,fixo,88,125,0,0,1200,1225
bom,8,própria,60,29,viúva(o),não,fixo,35,79,4000,0,850,950
ruim,1,alugada,36,25,casada(o),sim,meio período,69,92,0,0,475,550
bom,0,pais,60,22,casada(o),não,fixo,45,176,0,0,1150,1277
ruim,2,priv,60,53,casada(o),não,fixo,75,85,7000,0,1050,1172
bom,1,própria,24,47,casada(o),não,fixo,90,188,9000,0,700,1318
bom,2,alugada,48,34,casada(o),não,autônomo,75,300,0,0,1700,2185
ruim,1,pais,60,23,solteira(o),não,fixo,35,100,0,0,1500,2610
bom,13,alugada,60,54,casada(o),não,fixo,57,120,0,0,1000,1257
bom,1,pais,12,22,solteira(o),não,meio período,35,60,0,0,100,600
ruim,1,alugada,48,46,casada(o),não,fixo,103,125,1500,0,1100,1408
bom,19,própria,12,42,casada(o),não,fixo,90,464,5000,0,1100,2413
bom,5,pais,60,45,casada(o),sim,fixo,35,176,0,0,1000,1388
bom,19,pais,60,49,solteira(o),não,fixo,35,90,0,0,1600,1636
bom,8,própria,60,28,casada(o),não,autônomo,60,200,9000,0,750,850
bom,1,pais,24,22,solteira(o),não,fixo,35,415,0,0,700,1757
bom,11,própria,60,27,casada(o),não,fixo,45,318,8000,3300,1350,1600
bom,6,própria,18,33,solteira(o),não,fixo,35,163,6000,0,1200,2022
ruim,4,alugada,60,52,casada(o),não,fixo,97,72,0,0,1200,1200
bom,2,própria,60,34,casada(o),não,fixo,45,156,5000,198,1550,1550
ruim,0,própria,36,43,viúva(o),não,outros,35,49,2000,0,400,710
bom,8,própria,60,40,casada(o),não,fixo,75,110,3000,0,950,1286
bom,3,própria,60,31,casada(o),não,fixo,45,140,5500,1200,900,1400
bom,2,própria,36,31,casada(o),não,autônomo,60,92,2500,850,600,1638
ruim,4,alugada,60,27,viúva(o),sim,autônomo,35,NA,0,0,1700,1700
bom,6,própria,24,42,casada(o),não,meio período,60,145,3000,0,500,1850
bom,2,pais,60,35,casada(o),não,fixo,75,104,0,0,1200,1677
bom,4,própria,36,42,casada(o),sim,autônomo,75,400,12000,0,1500,1900
bom,0,própria,48,24,casada(o),não,meio período,45,95,5000,0,1000,1601
bom,5,própria,6,31,casada(o),não,autônomo,60,150,5000,0,300,1200
bom,1,pais,12,53,solteira(o),não,fixo,35,160,0,0,250,1456
bom,14,própria,60,59,casada(o),não,fixo,60,177,10000,0,1450,1456
bom,12,própria,48,38,casada(o),não,fixo,60,85,3000,0,500,960
ruim,6,alugada,36,49,casada(o),sim,autônomo,113,380,0,0,1000,1337
bom,13,própria,60,42,casada(o),não,fixo,60,107,4000,0,1000,1359
bom,0,própria,36,54,casada(o),não,outros,45,134,2500,0,625,801
ruim,2,alugada,60,24,solteira(o),não,fixo,35,NA,0,0,850,989
bom,21,alugada,60,39,casada(o),não,fixo,124,191,2000,0,2000,2536
ruim,0,própria,60,48,casada(o),não,meio período,75,100,7000,0,1000,1129
bom,2,pais,36,20,solteira(o),não,fixo,35,110,0,0,500,1314
ruim,5,outras,48,32,casada(o),sim,fixo,45,225,0,0,1000,1812
bom,15,pais,60,51,casada(o),sim,fixo,60,100,0,0,300,1742
bom,35,própria,48,54,casada(o),não,fixo,60,217,5000,0,1250,1455
ruim,3,outras,36,40,casada(o),sim,fixo,75,176,0,0,950,1150
bom,3,própria,24,29,casada(o),não,fixo,45,254,6000,800,500,1900
ruim,3,outras,60,27,casada(o),não,fixo,90,126,4000,0,1400,1800
bom,0,própria,60,57,casada(o),não,autônomo,45,200,3500,0,950,1070
ruim,1,outras,60,36,casada(o),não,fixo,60,101,0,0,850,1098
ruim,10,pais,60,31,casada(o),não,fixo,60,119,0,0,1600,1750
bom,0,própria,48,22,solteira(o),não,fixo,35,152,4000,0,1210,1325
ruim,0,pais,48,40,casada(o),não,meio período,90,113,3500,0,600,710
bom,18,outras,36,54,casada(o),não,fixo,75,119,0,0,300,1268
ruim,0,alugada,60,39,solteira(o),sim,fixo,35,NA,0,0,2350,2679
bom,8,pais,60,26,solteira(o),não,autônomo,35,75,7000,0,850,989
bom,21,alugada,60,36,casada(o),não,fixo,83,80,0,0,1220,1505
ruim,0,pais,36,22,casada(o),não,meio período,60,137,0,0,700,900
bom,4,priv,36,26,casada(o),não,fixo,45,107,3000,0,700,700
ruim,5,própria,60,36,casada(o),não,autônomo,90,62,3000,0,650,1295
ruim,5,própria,60,36,casada(o),não,autônomo,90,62,3000,0,650,1295
bom,19,alugada,60,37,casada(o),sim,fixo,88,125,0,0,750,970
ruim,4,alugada,60,28,casada(o),não,fixo,79,190,4000,0,1250,1250
bom,12,própria,24,56,casada(o),sim,fixo,60,124,1000,0,500,1495
ruim,3,própria,36,35,casada(o),sim,meio período,60,144,3000,0,475,690
ruim,0,própria,60,31,casada(o),sim,fixo,45,184,3500,0,1550,1679
bom,5,pais,24,26,solteira(o),não,autônomo,35,100,0,0,800,2450
bom,10,própria,12,34,casada(o),não,fixo,75,80,4500,3500,300,1600
bom,2,alugada,60,36,casada(o),não,fixo,58,129,0,0,1125,1575
bom,3,própria,24,29,casada(o),não,fixo,60,225,9000,0,600,980
bom,13,própria,48,33,casada(o),não,fixo,75,191,8000,2000,1400,1602
bom,2,alugada,24,28,casada(o),não,fixo,75,150,0,0,512,1255
bom,5,priv,60,24,casada(o),não,fixo,45,127,2000,0,1000,1282
ruim,43,própria,60,57,casada(o),sim,fixo,45,283,8000,0,900,1168
bom,15,pais,60,34,solteira(o),não,fixo,45,195,17000,0,1200,1200
bom,2,própria,36,38,casada(o),não,fixo,45,114,3600,0,650,1100
bom,0,alugada,60,29,solteira(o),não,fixo,35,NA,0,0,1550,1700
ruim,0,alugada,60,36,casada(o),sim,fixo,85,100,0,0,1100,1256
bom,0,alugada,36,29,solteira(o),não,meio período,46,113,0,0,1100,1110
bom,9,própria,60,47,casada(o),não,autônomo,75,178,50000,0,1850,1852
bom,15,própria,48,53,casada(o),não,autônomo,75,100,17000,0,500,1114
ruim,3,alugada,36,32,solteira(o),não,autônomo,35,NA,0,0,950,1350
bom,10,própria,60,34,casada(o),sim,fixo,60,310,3000,0,1600,1849
ruim,2,outras,60,21,solteira(o),não,fixo,35,86,0,0,1400,1600
bom,10,outras,36,32,solteira(o),não,fixo,35,139,0,0,1100,2471
bom,0,própria,60,32,solteira(o),não,meio período,35,94,7500,0,1350,1583
bom,1,alugada,36,24,casada(o),não,fixo,59,135,0,0,650,1136
bom,23,priv,60,51,casada(o),sim,fixo,45,110,2500,0,800,1343
bom,3,própria,48,29,casada(o),não,fixo,45,145,3500,0,700,1104
bom,4,pais,54,38,divorciada(o),não,fixo,35,53,0,0,850,1129
bom,18,própria,42,38,casada(o),não,autônomo,75,229,8000,0,1700,1850
ruim,12,própria,60,47,casada(o),sim,autônomo,75,285,20000,0,1440,1440
bom,2,alugada,12,34,casada(o),não,autônomo,69,240,0,0,500,700
bom,8,pais,60,22,solteira(o),não,fixo,35,86,8000,0,1200,1214
ruim,24,priv,60,46,casada(o),não,fixo,60,165,3500,1300,1400,1530
bom,14,própria,60,39,casada(o),não,fixo,105,129,3500,1200,750,1888
bom,2,pais,60,28,casada(o),não,fixo,60,131,6000,0,1250,1346
bom,6,NA,12,25,solteira(o),não,fixo,35,69,NA,NA,500,1275
bom,9,alugada,60,39,casada(o),não,fixo,57,123,0,0,1000,1194
ruim,6,alugada,48,53,separada(o),sim,fixo,56,208,0,0,1200,1479
bom,23,própria,60,49,casada(o),não,fixo,60,133,2000,0,1000,1755
bom,3,própria,24,46,casada(o),não,autônomo,75,500,14000,0,500,1095
bom,0,pais,36,56,casada(o),sim,fixo,35,102,6000,0,1000,1606
bom,15,própria,48,33,casada(o),não,fixo,75,150,3000,0,1000,1670
bom,0,pais,60,30,casada(o),não,fixo,75,100,5000,0,1350,1896
bom,1,alugada,18,26,solteira(o),não,fixo,46,110,0,0,500,600
bom,1,própria,60,34,casada(o),não,autônomo,60,NA,11000,0,1400,1500
bom,16,alugada,60,36,solteira(o),sim,fixo,47,120,5500,1700,1650,1852
ruim,2,pais,24,37,solteira(o),não,fixo,35,78,0,0,800,1298
bom,12,própria,60,26,casada(o),não,fixo,60,187,6000,1000,1100,1175
bom,25,própria,60,62,casada(o),não,autônomo,60,428,22000,0,1900,1994
bom,3,alugada,60,41,casada(o),não,outros,51,60,0,0,750,818
ruim,4,própria,60,37,casada(o),não,fixo,75,116,3000,575,950,950
bom,2,própria,36,32,casada(o),não,fixo,75,114,5000,0,1000,1853
bom,4,própria,48,32,casada(o),não,fixo,45,208,6500,5000,1000,1323
bom,16,própria,60,31,casada(o),não,fixo,75,123,4000,0,700,1698
ruim,0,alugada,48,28,casada(o),não,meio período,66,64,0,0,1100,1365
bom,10,própria,48,37,casada(o),não,fixo,75,350,7000,0,1000,1628
ruim,3,pais,36,21,solteira(o),não,fixo,35,85,0,0,105,105
bom,5,alugada,24,31,casada(o),não,fixo,84,90,0,0,400,2230
bom,16,alugada,60,36,casada(o),não,fixo,100,250,0,0,1250,1816
bom,17,própria,60,34,casada(o),não,fixo,75,173,4000,1600,933,964
ruim,1,alugada,36,25,solteira(o),não,fixo,49,135,0,0,600,675
bom,20,outras,60,36,casada(o),não,fixo,75,210,0,0,1330,1330
bom,7,alugada,60,47,casada(o),não,fixo,53,80,0,0,1350,1612
bom,3,priv,6,24,solteira(o),não,fixo,35,173,4800,0,475,1323
bom,13,própria,60,28,casada(o),não,fixo,60,130,5000,1500,900,1281
bom,10,própria,36,32,casada(o),não,fixo,75,112,5000,3600,400,830
ruim,2,alugada,60,35,casada(o),sim,fixo,52,70,0,0,1000,1000
ruim,4,pais,36,28,solteira(o),não,fixo,35,116,0,0,925,1350
bom,3,própria,48,26,casada(o),não,fixo,45,165,4000,600,950,1490
bom,13,própria,36,60,casada(o),não,autônomo,60,116,4000,0,1000,1100
bom,2,própria,24,57,casada(o),não,outros,45,25,2500,0,400,1034
bom,2,pais,36,34,separada(o),não,fixo,35,130,4000,0,500,550
ruim,2,alugada,60,57,casada(o),não,outros,50,52,1800,0,800,866
ruim,0,outras,24,46,solteira(o),sim,fixo,35,78,0,0,550,550
bom,1,própria,60,28,casada(o),não,outros,45,148,4500,0,1300,1695
ruim,0,própria,60,44,casada(o),não,outros,60,NA,25000,0,850,972
bom,12,alugada,36,35,casada(o),sim,autônomo,82,74,8000,0,475,550
bom,1,alugada,60,21,solteira(o),não,fixo,49,138,0,0,950,984
ruim,0,própria,36,45,casada(o),sim,outros,90,155,5000,0,300,1012
bom,5,alugada,48,31,casada(o),não,fixo,70,247,0,0,900,1039
bom,1,pais,48,27,solteira(o),não,autônomo,35,85,0,0,650,650
bom,0,própria,12,59,casada(o),não,autônomo,45,42,4000,0,400,790
bom,17,NA,60,55,casada(o),não,fixo,60,157,8000,0,1600,1600
bom,4,própria,60,36,casada(o),sim,fixo,75,236,3750,2000,1500,1615
bom,15,alugada,60,41,casada(o),não,fixo,74,137,0,0,1000,1450
bom,28,própria,36,51,casada(o),não,autônomo,60,152,10000,0,500,635
ruim,1,priv,60,35,casada(o),não,autônomo,35,NA,3000,0,1400,1411
bom,3,pais,60,33,solteira(o),não,fixo,35,167,10000,0,2000,2250
ruim,0,alugada,48,39,casada(o),sim,fixo,153,330,0,0,1000,1260
bom,7,alugada,60,34,solteira(o),não,fixo,60,250,9200,0,1500,1594
ruim,1,pais,36,22,solteira(o),não,fixo,35,80,8000,0,490,690
bom,4,própria,36,25,solteira(o),não,fixo,35,200,5000,0,900,1139
bom,35,própria,48,55,casada(o),não,autônomo,60,84,13000,0,1390,1390
bom,19,própria,60,33,casada(o),não,fixo,75,200,10000,1620,1000,1671
bom,6,própria,60,28,casada(o),não,fixo,60,187,5000,0,1500,2180
bom,1,própria,60,24,solteira(o),não,fixo,35,70,4000,0,1200,1505
bom,12,própria,60,38,casada(o),não,fixo,75,120,5000,0,1100,1172
bom,0,própria,60,30,casada(o),não,fixo,45,80,2000,200,1000,1331
ruim,15,alugada,24,47,casada(o),sim,autônomo,79,41,7000,0,1200,2257
ruim,3,alugada,60,31,casada(o),sim,fixo,81,57,0,0,1400,1475
ruim,5,pais,36,26,solteira(o),não,autônomo,35,NA,5000,3000,1200,2140
bom,0,pais,48,21,solteira(o),não,fixo,35,70,0,0,1250,1365
ruim,0,alugada,48,27,casada(o),não,autônomo,70,250,0,0,860,970
bom,5,própria,60,65,casada(o),não,outros,45,222,12000,0,600,1264
bom,14,própria,60,56,casada(o),sim,autônomo,75,150,NA,0,1000,1104
bom,10,própria,48,41,solteira(o),não,fixo,35,175,3000,0,750,1128
bom,3,alugada,36,25,solteira(o),não,fixo,49,138,0,0,900,1717
bom,4,pais,36,27,casada(o),não,fixo,45,72,0,0,350,1426
ruim,0,própria,60,62,casada(o),sim,outros,90,136,2650,0,600,790
ruim,10,própria,60,42,casada(o),não,autônomo,90,40,5000,1600,2000,2550
bom,2,pais,60,25,solteira(o),não,autônomo,45,130,8500,0,1100,1380
ruim,1,pais,60,34,casada(o),não,fixo,75,190,0,0,700,719
bom,2,própria,60,24,casada(o),não,fixo,60,243,2500,1980,1250,1451
bom,2,alugada,60,26,casada(o),sim,fixo,70,98,0,0,1100,1240
ruim,0,pais,24,21,solteira(o),sim,meio período,35,126,0,0,1150,1586
ruim,10,própria,48,35,casada(o),não,meio período,75,55,4000,0,1500,1786
ruim,1,própria,60,49,casada(o),não,meio período,105,88,2000,0,850,1149
ruim,1,própria,60,35,solteira(o),não,meio período,35,181,4500,0,1600,1912
ruim,14,priv,60,33,casada(o),sim,fixo,90,77,3400,0,1500,1813
ruim,4,pais,36,27,separada(o),sim,fixo,35,110,0,0,300,550
bom,17,própria,60,35,casada(o),não,fixo,60,125,4000,0,1080,1428
bom,4,própria,60,27,casada(o),não,autônomo,60,225,14500,1200,700,2273
bom,2,alugada,36,35,solteira(o),não,fixo,42,74,0,0,950,1000
bom,11,própria,18,37,casada(o),não,fixo,45,115,20000,0,600,1200
bom,1,alugada,48,64,casada(o),não,outros,74,137,3500,0,600,927
bom,14,própria,36,34,viúva(o),não,fixo,45,202,6500,0,350,800
bom,2,própria,48,37,casada(o),não,fixo,75,135,18000,0,1000,1062
bom,5,própria,48,43,casada(o),não,autônomo,45,145,5000,0,680,1350
ruim,6,alugada,36,49,casada(o),não,outros,65,54,0,0,450,615
bom,11,própria,12,51,casada(o),não,autônomo,45,80,6000,0,1000,1931
bom,9,própria,36,24,casada(o),não,fixo,45,140,9000,0,1000,1100
bom,1,pais,60,22,solteira(o),não,fixo,35,90,0,0,1250,1590
ruim,0,pais,36,30,solteira(o),não,outros,45,32,0,0,650,750
bom,1,própria,24,33,casada(o),não,fixo,45,130,3000,0,800,1465
bom,17,própria,24,50,casada(o),não,autônomo,60,285,22000,700,500,1321
bom,0,pais,36,19,solteira(o),não,meio período,35,75,0,0,1450,1473
bom,5,própria,36,26,casada(o),sim,autônomo,45,150,7000,0,1500,2588
bom,12,própria,60,28,solteira(o),sim,fixo,35,172,3000,2000,950,1184
ruim,1,alugada,36,23,casada(o),não,autônomo,75,300,0,0,400,700
bom,3,pais,60,26,solteira(o),sim,fixo,35,73,0,0,650,1200
bom,20,própria,60,51,casada(o),não,fixo,60,165,3500,0,500,625
ruim,3,própria,36,38,casada(o),não,autônomo,90,300,3000,0,1200,1881
bom,14,alugada,60,30,casada(o),sim,fixo,67,217,0,0,1800,1807
ruim,0,outras,60,41,casada(o),sim,fixo,105,NA,0,0,1000,2750
bom,3,priv,60,29,casada(o),não,fixo,60,90,2000,0,1650,1800
bom,4,pais,36,28,casada(o),não,fixo,45,100,0,0,1000,2343
bom,0,própria,48,38,casada(o),não,fixo,75,217,3500,0,1400,1689
ruim,7,própria,48,29,casada(o),não,fixo,60,62,4000,0,984,984
bom,4,alugada,6,28,casada(o),não,fixo,66,60,0,0,200,1566
bom,16,própria,60,32,casada(o),não,fixo,60,117,1100,80,1400,1833
ruim,2,alugada,48,22,solteira(o),não,fixo,42,73,0,0,940,1127
ruim,2,pais,48,30,solteira(o),não,fixo,35,86,0,0,900,1127
ruim,11,própria,48,30,casada(o),não,fixo,75,67,3000,2040,1000,1093
bom,30,própria,36,53,casada(o),não,fixo,75,165,5000,0,900,900
ruim,2,priv,60,28,casada(o),sim,fixo,75,166,6000,0,1500,1599
ruim,5,outras,48,22,solteira(o),não,fixo,35,82,0,0,480,1910
ruim,1,alugada,36,24,casada(o),não,autônomo,44,90,0,0,1050,1493
ruim,1,alugada,60,52,separada(o),sim,fixo,68,327,0,0,700,819
bom,8,própria,60,34,casada(o),não,fixo,75,145,3000,1800,1500,1703
bom,20,alugada,36,39,casada(o),não,autônomo,95,202,0,0,600,1461
bom,4,própria,60,30,casada(o),não,meio período,45,150,4000,2800,1400,1763
bom,5,alugada,36,46,casada(o),não,fixo,82,223,0,0,450,650
bom,3,pais,36,52,casada(o),sim,fixo,60,325,0,0,400,1700
bom,10,própria,60,52,casada(o),não,fixo,60,143,5500,0,1300,1661
bom,10,alugada,60,36,casada(o),não,fixo,85,100,0,0,850,1150
bom,11,própria,12,25,casada(o),não,fixo,45,124,2500,1000,800,1602
bom,22,alugada,48,46,casada(o),não,fixo,86,110,0,0,1150,1528
ruim,0,outras,48,45,casada(o),não,autônomo,75,120,0,0,900,964
bom,25,própria,60,53,casada(o),não,fixo,60,107,4000,0,800,932
ruim,2,outras,60,22,solteira(o),não,fixo,35,83,0,0,1400,1430
bom,0,outras,36,50,casada(o),não,meio período,60,162,20000,0,1000,1615
ruim,0,própria,48,52,casada(o),sim,outros,90,245,3850,2432,1520,1670
bom,12,priv,60,47,casada(o),não,fixo,60,243,8500,0,1850,1890
bom,4,alugada,60,27,solteira(o),não,fixo,43,76,0,0,650,1070
bom,12,própria,18,35,casada(o),não,fixo,60,400,6000,0,200,2225
bom,0,pais,48,21,solteira(o),não,meio período,35,106,5000,0,500,1131
bom,22,própria,36,44,casada(o),não,fixo,75,120,7000,0,650,1852
ruim,3,pais,60,32,solteira(o),não,fixo,35,122,0,0,2000,2050
bom,1,alugada,36,34,divorciada(o),não,fixo,43,80,0,0,700,700
bom,14,priv,60,36,casada(o),não,fixo,60,120,4000,1500,1500,1540
bom,10,alugada,48,36,casada(o),não,fixo,80,200,0,0,978,1338
bom,13,alugada,60,36,casada(o),não,fixo,79,191,4000,700,1000,1209
bom,1,alugada,60,24,casada(o),não,fixo,52,67,0,0,800,1137
ruim,3,própria,36,26,solteira(o),não,autônomo,35,NA,60000,3000,800,1000
bom,5,alugada,12,35,casada(o),sim,autônomo,96,210,0,0,300,700
bom,4,própria,60,42,solteira(o),não,fixo,35,110,2500,0,1090,1565
bom,3,outras,60,55,casada(o),não,fixo,45,45,0,0,600,864
bom,19,própria,60,49,casada(o),não,fixo,135,150,3500,0,1100,1477
ruim,4,pais,60,38,separada(o),não,fixo,35,100,0,0,1300,1500
bom,9,própria,60,32,casada(o),não,fixo,75,345,6000,3300,700,994
bom,7,própria,60,36,casada(o),não,fixo,60,122,3000,0,750,850
bom,26,própria,60,55,casada(o),não,fixo,60,110,10000,0,1500,1527
ruim,2,alugada,60,30,casada(o),sim,autônomo,54,90,2000,0,1500,1500
bom,11,própria,48,29,casada(o),não,fixo,75,76,15000,0,300,1336
bom,4,alugada,36,48,casada(o),não,autônomo,94,340,1000,0,525,525
ruim,2,própria,60,29,casada(o),sim,fixo,60,185,6300,2300,2000,2675
bom,5,própria,60,42,casada(o),não,fixo,75,101,3500,0,1090,1190
bom,3,própria,24,32,casada(o),não,fixo,60,196,5000,300,800,1606
bom,17,própria,36,47,casada(o),não,fixo,75,158,17000,0,1000,2159
bom,9,pais,60,33,casada(o),não,fixo,45,221,3000,0,1600,2344
bom,18,própria,60,32,solteira(o),não,fixo,35,133,3500,150,1600,2200
bom,18,própria,60,42,casada(o),não,autônomo,90,NA,5000,0,1300,2147
bom,6,própria,24,45,casada(o),não,autônomo,90,150,5000,0,250,450
bom,12,própria,12,40,casada(o),não,fixo,75,390,8000,0,500,1732
bom,2,própria,36,28,casada(o),não,meio período,60,146,2500,0,700,1258
bom,1,pais,48,29,solteira(o),não,autônomo,45,478,9000,0,2100,2450
bom,8,outras,24,41,divorciada(o),não,fixo,60,90,4000,0,500,1600
bom,25,priv,48,55,casada(o),não,fixo,60,169,4000,0,1000,1459
ruim,25,própria,60,61,casada(o),sim,autônomo,45,100,39000,0,1060,1134
ruim,3,alugada,18,30,casada(o),não,autônomo,54,90,0,0,300,425
bom,2,própria,48,40,casada(o),não,autônomo,60,160,3000,800,1300,1521
bom,3,alugada,48,36,casada(o),sim,fixo,82,222,0,0,1900,2100
bom,18,própria,60,42,casada(o),não,fixo,75,111,2500,0,1150,1640
bom,1,própria,48,18,solteira(o),não,meio período,45,111,7000,0,1100,1299
bom,4,própria,36,23,casada(o),não,fixo,75,168,4000,0,1100,1385
bom,20,própria,60,49,casada(o),não,autônomo,90,215,4500,0,1000,1228
bom,14,própria,60,28,casada(o),não,autônomo,75,94,5500,9500,1660,2419
bom,0,pais,36,26,solteira(o),não,fixo,35,63,0,0,600,994
ruim,8,alugada,60,25,casada(o),sim,fixo,73,280,0,0,600,1364
bom,15,própria,48,33,casada(o),não,fixo,75,220,7000,0,1300,2400
bom,3,própria,60,30,casada(o),não,fixo,45,126,3500,2400,1000,1120
bom,20,própria,36,44,casada(o),não,fixo,60,120,3000,0,350,400
ruim,2,pais,60,25,divorciada(o),não,meio período,35,90,0,0,900,1111
bom,17,própria,24,55,casada(o),não,autônomo,75,191,14000,0,1000,2420
bom,20,alugada,60,41,solteira(o),não,autônomo,50,148,4000,0,835,1356
ruim,0,outras,60,47,viúva(o),sim,autônomo,45,NA,0,0,1500,1600
bom,2,pais,24,26,solteira(o),não,fixo,35,88,0,0,325,450
bom,11,pais,60,27,casada(o),não,fixo,60,150,2500,0,1100,1129
ruim,12,própria,60,34,casada(o),não,fixo,60,115,4000,0,1650,1686
ruim,1,alugada,60,31,divorciada(o),sim,fixo,43,76,0,0,500,1300
bom,2,própria,60,37,casada(o),não,fixo,60,145,3500,1100,1250,1763
ruim,17,priv,60,48,casada(o),sim,autônomo,60,69,7000,0,1400,1813
bom,13,própria,60,52,casada(o),não,autônomo,60,NA,20000,0,1370,1714
bom,3,pais,36,22,solteira(o),não,fixo,35,60,19000,0,775,1050
ruim,4,pais,48,25,solteira(o),não,fixo,35,73,0,0,700,814
bom,38,própria,48,56,viúva(o),não,fixo,35,112,3000,0,850,960
ruim,12,própria,60,39,casada(o),não,fixo,90,95,4000,250,1450,1686
bom,15,pais,48,40,solteira(o),não,fixo,35,150,0,0,1000,1399
bom,20,própria,60,51,casada(o),não,fixo,60,250,2500,0,1250,1825
bom,0,pais,48,27,solteira(o),sim,fixo,35,46,0,0,900,1216
bom,2,priv,60,25,casada(o),não,fixo,45,60,3000,0,1150,1163
ruim,4,outras,60,25,solteira(o),não,meio período,35,92,0,0,1400,1661
bom,7,própria,60,36,casada(o),não,fixo,90,120,6000,1500,900,1175
bom,4,própria,12,32,casada(o),não,fixo,45,231,13000,290,400,1198
ruim,2,alugada,60,32,casada(o),não,fixo,93,175,0,0,1650,1688
bom,2,pais,48,23,solteira(o),não,meio período,35,160,3500,1200,1200,1426
bom,1,pais,60,22,solteira(o),não,fixo,35,109,0,0,1000,1466
ruim,0,pais,48,25,casada(o),não,fixo,60,247,0,0,1900,1900
ruim,0,outras,60,34,solteira(o),não,fixo,35,140,3000,0,1550,1570
bom,2,outras,60,41,separada(o),não,autônomo,35,100,5000,0,1200,1450
bom,8,pais,48,28,solteira(o),não,fixo,35,115,500,0,360,363
bom,1,alugada,36,37,casada(o),não,autônomo,90,NA,0,0,850,998
bom,3,alugada,36,34,solteira(o),não,fixo,41,63,30000,0,625,921
ruim,0,pais,60,20,solteira(o),não,fixo,35,79,0,0,1570,1575
bom,10,alugada,48,38,casada(o),não,autônomo,78,333,0,0,700,1386
bom,4,própria,48,49,solteira(o),sim,fixo,35,183,8000,0,1200,1531
bom,2,pais,24,21,solteira(o),não,autônomo,35,NA,0,0,250,355
ruim,0,própria,36,36,casada(o),não,outros,45,25,3500,0,1300,2246
bom,20,priv,60,39,casada(o),não,fixo,90,159,2000,0,750,790
ruim,10,alugada,60,39,casada(o),sim,autônomo,119,292,13000,2500,1500,2262
bom,0,alugada,60,29,casada(o),não,meio período,61,160,0,0,1000,1055
bom,21,alugada,36,42,casada(o),não,fixo,74,135,450,0,240,1275
ruim,3,alugada,60,48,separada(o),sim,fixo,47,120,0,0,1000,1077
bom,2,própria,36,27,viúva(o),não,fixo,35,135,8000,0,750,1296
ruim,3,própria,36,43,casada(o),não,autônomo,45,NA,3500,0,600,800
ruim,1,própria,60,46,casada(o),sim,fixo,75,209,11000,0,1800,2015
bom,19,alugada,18,39,solteira(o),não,fixo,45,100,0,0,450,997
ruim,3,alugada,24,22,solteira(o),não,autônomo,50,148,0,0,700,950
ruim,25,pais,60,64,casada(o),sim,fixo,45,130,0,0,2047,2946
bom,2,alugada,60,28,solteira(o),não,fixo,45,101,0,0,1300,1333
bom,3,pais,36,21,solteira(o),não,meio período,35,49,0,0,750,850
bom,5,alugada,30,58,casada(o),não,fixo,80,200,15000,0,520,690
ruim,6,alugada,36,41,casada(o),sim,autônomo,75,NA,0,0,775,875
bom,10,alugada,36,47,solteira(o),não,meio período,86,114,3500,0,400,872
bom,17,alugada,24,49,casada(o),não,autônomo,80,53,0,0,600,1104
bom,0,própria,12,22,solteira(o),não,fixo,35,132,3500,0,300,509
ruim,0,própria,60,62,casada(o),não,outros,45,42,4000,0,500,827
ruim,2,pais,36,24,solteira(o),não,fixo,35,90,0,0,1000,1150
bom,28,própria,24,59,casada(o),não,autônomo,60,606,6000,0,1550,1760
bom,0,alugada,48,36,casada(o),não,fixo,74,141,0,0,1150,1485
bom,5,própria,60,36,casada(o),não,fixo,75,141,4000,0,1300,1435
ruim,5,pais,36,45,casada(o),sim,fixo,75,68,0,0,2375,2875
bom,12,própria,36,41,casada(o),não,autônomo,60,NA,10000,0,1000,2100
bom,4,própria,24,30,casada(o),sim,fixo,45,165,3000,0,250,450
bom,6,pais,60,43,casada(o),não,autônomo,75,70,4000,0,1000,1548
bom,0,alugada,24,23,solteira(o),não,fixo,42,70,0,0,125,125
bom,9,própria,48,41,separada(o),não,fixo,35,60,8000,1000,1200,1538
bom,9,alugada,36,31,casada(o),sim,autônomo,84,241,10000,0,3800,5852
ruim,2,alugada,12,47,casada(o),sim,fixo,103,426,0,0,350,450
ruim,2,alugada,60,36,separada(o),sim,autônomo,35,NA,0,0,2000,2676
bom,2,pais,12,25,solteira(o),sim,autônomo,35,74,18000,0,600,1638
